1,673,152,59,60,0
2,671,153,59,60,0
3,669,154,60,60,0
4,668,155,60,60,0
5,666,156,61,60,0
6,665,157,61,60,0
7,663,158,61,60,0
8,661,159,62,60,0
9,660,160,62,60,0
10,658,161,63,60,0
11,657,163,63,59,0
12,655,164,63,59,0
13,653,166,63,59,0
14,652,168,63,59,0
15,650,169,63,59,0
16,649,171,63,59,0
17,647,173,63,59,0
18,645,174,63,59,0
19,644,176,63,59,0
20,642,178,63,59,0
21,641,180,63,59,0
22,639,181,63,59,0
23,638,182,63,59,0
24,637,183,63,59,0
25,636,185,63,59,0
26,635,186,63,59,0
27,634,187,63,59,0
28,633,189,63,59,0
29,632,190,63,59,0
30,631,191,63,59,0
31,630,193,63,59,0
32,629,193,63,59,0
33,628,193,63,59,0
34,627,193,63,59,0
35,626,193,63,59,0
36,625,194,63,59,0
37,624,194,63,59,0
38,623,194,63,59,0
39,622,194,63,59,0
40,621,194,63,59,0
41,621,195,63,59,0
42,620,195,63,59,0
43,620,195,63,59,0
44,620,195,63,59,0
45,620,196,63,59,0
46,620,196,63,59,0
47,620,196,63,59,0
48,620,197,63,59,0
49,620,197,63,59,0
50,620,197,63,59,0
51,620,198,63,59,0
52,631,195,64,60,0
53,642,193,65,61,0
54,653,190,66,63,0
55,665,188,67,64,0
56,678,187,68,65,0
57,692,187,68,66,0
58,705,187,69,66,0
59,719,187,70,67,0
60,732,187,71,67,0
61,746,187,71,68,0
62,759,187,72,68,0
63,773,187,73,69,0
64,785,192,72,68,0
65,797,197,72,67,0
66,809,202,72,67,0
67,818,207,72,67,0
68,827,212,72,67,0
69,836,217,72,67,0
70,845,222,72,67,0
71,854,228,72,67,0
72,861,233,72,67,0
73,869,238,72,67,0
74,876,244,72,67,0
75,884,249,72,67,0
76,892,255,71,67,0
77,899,260,72,67,0
78,907,266,71,67,0
79,914,271,72,67,0
80,922,277,71,67,0
81,930,282,71,67,0
82,937,288,71,67,0
83,945,293,71,67,0
84,953,299,71,67,0
85,959,294,72,68,0
86,965,290,73,69,0
87,972,285,73,71,0
88,978,281,74,71,0
89,984,276,75,73,0
90,991,272,75,74,0
91,997,270,77,74,0
92,1004,268,78,74,0
93,1011,266,79,74,0
94,1017,265,81,73,0
95,1024,263,82,73,0
96,1031,261,83,73,0
97,1038,260,84,72,0
98,1044,259,84,72,0
99,1050,259,84,72,0
100,1056,259,84,72,0
101,1062,259,84,72,0
102,1069,259,84,72,0
103,1075,259,84,72,0
104,1081,259,84,72,0
105,1087,259,84,72,0
106,1093,259,84,72,0
107,1100,259,84,72,0
108,1103,259,84,73,0
109,1107,260,84,74,0
110,1111,261,83,74,0
111,1114,262,84,75,0
112,1118,263,84,75,0
113,1122,263,83,77,0
114,1125,264,84,77,0
115,1129,265,83,78,0
116,1133,266,83,78,0
